"ticker","company_name","sector","industry","market_cap_category"
"MUTHOOTFIN.NS","Muthoot Finance Limited","Financial Services","Financial Services","Large Cap"
"MUTHOOTMF.NS","Muthoot Microfin Limited","Other","Other","Other"
"MVGJL.NS","Manoj Vaibhav Gems N Jewellers Limited","Other","Other","Other"
"MWL.NS","Mangalam Worldwide Limited","Other","Other","Other"
"NACLIND.NS","NACL Industries Limited","Other","Other","Other"
"NAGREEKEXP.NS","Nagreeka Exports Limited","Other","Other","Other"
"NAHARCAP.NS","Nahar Capital and Financial Services Limited","Other","Other","Other"
"NAHARINDUS.NS","Nahar Industrial Enterprises Limited","Other","Other","Other"
"NAHARPOLY.NS","Nahar Poly Films Limited","Other","Other","Other"
"NAM-INDIA.NS","Nippon Life India Asset Management Limited","Financial Services","Financial Services","Mid Cap"
"NARMADA.NS","Narmada Agrobase Limited","Other","Other","Other"
"NATCAPSUQ.NS","Natural Capsules Limited","Other","Other","Other"
"NATCOPHARM.NS","Natco Pharma Limited","Healthcare","Healthcare","Small Cap"
"NATHBIOGEN.NS","Nath Bio-Genes (India) Limited","Other","Other","Other"
"NATIONALUM.NS","National Aluminium Company Limited","Materials","Metals & Mining","Mid Cap"
"NATIONSTD.NS","National Standard (India) Limited","Other","Other","Other"
"NAUKRI.NS","Info Edge (India) Limited","Consumer Cyclical","Consumer Services","Mid Cap"
"NAVA.NS","NAVA LIMITED","Utilities","Power","Small Cap"
"NAVINFLUOR.NS","Navin Fluorine International Limited","Materials","Chemicals","Small Cap"
"NAVKARCORP.NS","Navkar Corporation Limited","Other","Other","Other"
"NAVKARURB.NS","Navkar Urbanstructure Limited","Other","Other","Other"
"NAVNETEDUL.NS","Navneet Education Limited","Other","Other","Other"
"NAZARA.NS","Nazara Technologies Limited","Other","Other","Other"
"NBCC.NS","NBCC (India) Limited","Industrials","Construction","Small Cap"
"NBIFIN.NS","N. B. I. Industrial Finance Company Limited","Other","Other","Other"
"NCC.NS","NCC Limited","Industrials","Construction","Small Cap"
"NCLIND.NS","NCL Industries Limited","Other","Other","Other"
"NDGL.NS","Naga Dhunseri Group Limited","Other","Other","Other"
"NDL.NS","Nandan Denim Limited","Other","Other","Other"
